publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2023211641-A1,Methods and apparatus for trailers with adjustable batteries ,"Ford Global Technologies, Llc","Stuart C. Salter, Lorne Forsythe, Hussein Berry, Andrew Niedert, Darrel Alan Recker, Aaron Bradley Johnson",1/5/2022,7/6/2023,2023
US-11518406-B2,Test failure detection using a governing agent data set ,"Toyota Research Institute, Inc.",Sachit Vithaldas,4/2/2020,12/6/2022,2022
US-2023173892-A1,Refrigerant circulating apparatus for vehicle ,"Hyundai Motor Company, Kia Corporation","Yeonho Kim, Hochan An, HoYoung Jeong, Man Hee Park, Jae Yeon Kim, Jeawan Kim",12/8/2021,6/8/2023,2023
US-2024051470-A1,Cargo orientation and alignment ,"Ford Global Technologies, Llc","Stuart C. Salter, Brendan Diamond, David Brian Glickman, Eric Scott Levine, William Wurz, Matthew B. Rutman",8/12/2022,2/15/2024,2024
US-2024007803-A1,In-car assistive audio technologies for users with hearing loss ,Cerence Operating Company,"Aleksandra Maria KUBIAK, Guido Kolano",6/30/2022,1/4/2024,2024
US-2023174029-A1,Redundant vehicle control systems based on tire sensors ,Volvo Truck Corporation,Chidambaram Subramanian,12/2/2021,6/8/2023,2023
US-2022324367-A1,"System, workflow, method and apparatus of a solar smart delivery signage trailer or cart (SS-DST) with UV disinfecting smart lockers, food delivery capabilities, advertisement screens and on demand help desk video calls that can be towed by an autonomous or non autonomous vehicle or robot. ",Willis Dennis Grajales,Willis Dennis Grajales,4/7/2021,10/13/2022,2022
US-2024187991-A1,User Equipment (UE) Feedback for Improved Energy Efficiency Configuration ,Telefonaktiebolaget Lm Ericsson (Publ),"Henrik Rydén, Luca Lunardi, Angelo Centonza, Reem Karaki, Sina Maleki, Andres Reial, Ali Nader, Pradeepa Ramachandra, Marco Belleschi",4/30/2021,6/6/2024,2024
US-11900463-B2,Enterprise portfolio management system ,Persefoni AI Inc.,Kentaro M. Kawamori,8/17/2020,2/13/2024,2024
US-2024345181-A1,Fire mitigation and downed conductor detection systems and methods ,"GRID20/20, Inc.","W. Alan Snook, Joseph O. Beaudet, Sergio Angeli",11/5/2020,10/17/2024,2024
US-2023410028-A1,"Device and system for an autonomous mobile robot, drone, and/or courier to deliver, hold, protect, and return parcels for multi-users in both residential and commercial applications. ","Daniel S. O'Toole, Torrey M. Bievenour, Neerav Shah, Mark Hamm, John D. Ritchison","Daniel S. O'Toole, Torrey M. Bievenour, Neerav Shah, Mark Hamm, John D. Ritchison",6/15/2022,12/21/2023,2023
US-2023369629-A1,Modular fuel cell power system architecture for hybrid vehicles ,"Cummins Inc., Hydrogenics Corporation","Sravan Kumar RAGI, Agneya Turlapati, David Genter, Brian K. Landes, Heonjoong LEE, Kieran J. Richards, Rohit Saha, Richard J. ANCIMER, Nathaniel Ian Joos",5/16/2022,11/16/2023,2023
US-11741723-B2,System for performing intersection scenario retrieval and method thereof ,"Honda Motor Co., Ltd.","Yi-Ting Chen, Nakul Agarwal, Behzad Dariush, Ahmed Taha",2/27/2020,8/29/2023,2023
US-2022358401-A1,Systems and methods for soft model assertions ,"Toyota Research Institute, Inc.","Daniel D. Kang, Nikos Arechiga Gonzalez, Sudeep Pillai",5/10/2021,11/10/2022,2022
US-2022319308-A1,Smart traffic assistant systems and methods ,"Honda Motor Co., Ltd.",Soroush Jalali,3/31/2021,10/6/2022,2022
US-12017679-B2,Adaptive trust calibration ,"Honda Motor Co., Ltd.","Manisha NATARAJAN, Kumar Akash, Teruhisa Misu",10/25/2021,6/25/2024,2024
US-2022277165-A1,System and method for improving driver situation awareness prediction using human visual sensory and memory mechanism ,"Honda Motor Co., Ltd.","Haibei ZHU, Teruhisa Misu, Sujitha Catherine Martin, Xingwei Wu, Kumar Akash",2/26/2021,9/1/2022,2022
US-2023182745-A1,System and method for determining object-wise situational awareness ,"Honda Motor Co., Ltd.","Teruhisa Misu, Chun Ming Samson HO, Kumar Akash, Xiaofeng Gao, Xingwei Wu",12/15/2021,6/15/2023,2023
US-2024241180-A1,Battery management apparatus and battery testing system including the same ,"Lg Energy Solution, Ltd.",Jung Hoon Lee,8/13/2021,7/18/2024,2024
US-2023054986-A1,Imaging device and electronic device ,"Semiconductor Energy Laboratory Co., Ltd.","Seiichi Yoneda, Takayuki Ikeda, Hiroki Inoue, Yusuke Negoro, Shunpei Yamazaki",3/6/2020,2/23/2023,2023
US-11695902-B2,"Information management system, and portable device and image management server used therein ",Toyota Jidosha Kabushiki Kaisha,"Katsuhiko Iwazaki, Yu Watanabe",9/9/2020,7/4/2023,2023
US-11755469-B2,System for executing structured tests across a fleet of autonomous vehicles ,"Argo AI, LLC",Ghassan Atmeh,9/24/2020,9/12/2023,2023
US-2022164245-A1,On-board feedback system for autonomous vehicles ,"Argo AI, LLC","John Lepird, Lorenzo Nardi, Andrew T. Hartnett",11/23/2020,5/26/2022,2022
US-12159560-B2,Projector power management for head-up displays ,"Ford Global Technologies, Llc","John Robert Van Wiemeersch, Brendan Francis DIAMOND, Stuart C. Salter, Ryan Joseph Gorski, Mahmoud Y. Ghannam",3/22/2023,12/3/2024,2024
US-2024042959-A1,Deployable protection plate ,"Rivian Ip Holdings, Llc","Revathi KRISHNAMOORTHY, Mark Lennard TAYLOR, Henning Wigger, Kevin WHELDON, Andres MEANA, Shanmugha KUPPURAJ",8/8/2022,2/8/2024,2024
US-2024110800-A1,Wear mitigation routing platform ,"Rivian Ip Holdings, Llc","Philippe Herrou, Christopher R. Conklin, Parker Richard Williams",10/4/2022,4/4/2024,2024
US-2023009125-A1,Contactless charging device and contactless charging method ,Toyota Jidosha Kabushiki Kaisha,"Takahiro Hirano, Shogo Tsuge, Ryosuke IKEMURA, Yohei ARINO, Masaki Ito, Yuki Takahashi",7/12/2021,1/12/2023,2023
US-2023169543-A1,System and method for controlling displayed content on a digital signage ,USSI Global,"Theodore H. Korte, Anthony M. Morelli",11/17/2021,6/1/2023,2023
US-2023065059-A1,Salted key refreshment in wireless battery management systems ,Texas Instruments Incorporated,"Archanaa SANTHANA KRISHNAN, Alexis Justine BURNIGHT, Ariton E. Xhafa",8/30/2021,3/2/2023,2023
US-2023276453-A1,Uplink transmission method and communication apparatus ,"Huawei Technologies Co., Ltd.","Dan Hu, Xu Zhang, Bingyu Qu, Feng Wang",10/28/2020,8/31/2023,2023
US-12205419-B2,Mobile compute system with interface verification mechanism and method of operation thereof ,"Moj.Io, Inc.",James Anthony Curtis,3/2/2022,1/21/2025,2025
US-11675077-B2,Systems and methods for analyzing waveforms using pulse shape information ,"Lg Innotek Co., Ltd.",Yahia Tachwali,3/8/2021,6/13/2023,2023
US-2025026396-A1,Methods and apparatus to control stowable steering wheels ,"Ford Global Technologies, Llc","Erik William Soderlind, Taras Andrew Palczynski, Alan Joseph Porter",7/21/2023,1/23/2025,2025
US-2021279490-A1,"Information processing apparatus, information processing method, and system ",Toyota Jidosha Kabushiki Kaisha,"Yuko MIZUNO, Misa Ejiri, Kazuyuki Kagawa, Yuta Oshiro, Katsuhito KITO",3/5/2020,9/9/2021,2021
US-2022185381-A1,Rear vehicle body structure ,"Hyundai Motor Company, Kia Motors Corporation","Yeongjae Kim, Won Ki SONG",12/15/2020,6/16/2022,2022
US-2021279479-A1,Systems and methods for sharing camera setting control among multiple image processing components in a vehicle ,"Ford Global Technologies, Llc","Akshay Vaidya, David Michael Herman, Yashanshu Jain, Brian Quinn Kettlewell, Kyle Sorensen, Ali Husain",3/9/2020,9/9/2021,2021
US-2023115758-A1,Systems and methods for controlling speed of an autonomous vehicle ,"Argo AI, LLC","Alice Kassar, Scott Julian Varnhagen, Ramadev Burigsay Hukkeri",10/11/2021,4/13/2023,2023
US-2024011781-A1,Method and system for asynchronous negotiation of autonomous vehicle stop locations ,"Argo AI, LLC","Bradley Dryer, Noe Brito, Steven Nielsen, Shenglong Gao",7/8/2022,1/11/2024,2024
US-2023247560-A1,Power control method and apparatus ,"Huawei Technologies Co., Ltd.","Jian Zhang, Yifan Xue",6/22/2020,8/3/2023,2023
US-2022306160-A1,System and method for providing long term and key intentions for trajectory prediction ,"Honda Motor Co., Ltd.","Harshayu GIRASE, Haiming Gang, Srikanth Malla, Jiachen Li, Akira Kanehara, Chiho Choi",3/25/2021,9/29/2022,2022
US-2024230826-A1,Positioning based on Non-Cellular Ranging Signals and Cellular Radio Access Technology (RAT) Signals ,Telefonaktiebolaget Lm Ericsson (Publ),"Satyam Dwivedi, Ritesh Shreevastav, Åke Busin",6/17/2021,7/11/2024,2024
US-2023222849-A1,Systems and methods for vehicle reversing detection using edge machine learning ,Geotab Inc.,Robert Spencer Hockin,1/11/2022,7/13/2023,2023
US-2023384096-A1,Systems and Methods for Use of a Vehicle to Conduct a Site Survey Operation ,"Ford Global Technologies, Llc","Stuart Salter, Ryan Edwin Hanson, Hussein Berry, John Van Wiemeersch, Vivekanandh Elangovan",5/27/2022,11/30/2023,2023
US-2024006452-A1,Solid-state imaging element and electronic device ,Sony Semiconductor Solutions Corporation,"Shuhei Maeda, Takashi Tanaka, Hironobu Fukui",12/8/2020,1/4/2024,2024
US-11945445-B1,Environmentally friendly smart modes for vehicles ,Mercedes-Benz Group AG,Mark Maleitzke,3/30/2023,4/2/2024,2024
US-2024192007-A1,Method and system for controlling autonomous driving by search and train of autonomous driving software linked with route guidance ,Kakao Mobility Corp.,Seung Hwan HONG,12/12/2022,6/13/2024,2024
US-2021278474-A1,Voltage correction in battery voltage monitors ,Texas Instruments Incorporated,"Vishnu Ravinuthula, Takao Oshida, Geoffrey GRIMMER",3/5/2020,9/9/2021,2021
US-2022332336-A1,Using simlulated scene data to test autonomous vehicle operations ,Gm Cruise Holdings Llc,"Casey Weaver, Sidhant Gandhi",4/19/2021,10/20/2022,2022
US-2022190641-A1,Adaptive metering in a smart grid ,"Landis+Gyr Innovations, Inc.","David Decker, Matt Karlgaard, Ruben E. Salazar Cardozo, Keith Mario Torpy, James Randall Turner",12/15/2020,6/16/2022,2022
US-11256878-B1,Directed sound transmission systems and methods ,"Zaps Labs, Inc.","Joseph Frank Scalisi, Tyler James Gilbreth, Steven Christopher Lynch, Adrian Simon Lanch",12/4/2020,2/22/2022,2022
US-2023163618-A1,Method for Operating a User Interface for Selecting a Charging Strategy for a Device Battery and for Operating the Device Battery as Well as a User Interface ,Robert Bosch Gmbh,"Christian Simonis, Christoph KROENER",11/19/2021,5/25/2023,2023
US-2023084429-A1,PDSCH Transmission Method and Apparatus ,"Huawei Technologies Co., Ltd.","Yongping Zhang, Shulan Feng, Xiaoqing Liu, Tie Li",5/15/2020,3/16/2023,2023
US-12018810-B2,Crossbar with lighting ,"Rivian Ip Holdings, Llc","Austin Frederickson, Joshua Bayer, Christian V. Elder, Paula Michelle Lobaccaro, Zechariah John Rudnicki, Erik Robert GLASER",7/8/2022,6/25/2024,2024
US-2023100724-A1,Methods and apparatus to use front load estimates for body control ,"Ford Global Technologies, Llc","David Michael Russell, Charles Gavin McGee, Ben BULAT, Daniel Lee Grohnke, Darrell Erick Butler",9/29/2021,3/30/2023,2023
US-2022153307-A1,System and method for completing trajectory prediction from agent-augmented environments ,"Honda Motor Co., Ltd.","Chiho Choi, Srikanth Malla, Sangjae Bae",11/13/2020,5/19/2022,2022
US-2024069105-A1,Lebesgue-sampling-based li-battery whole-service-life soc estimation using simplified first principle (sfp) model ,University Of South Carolina,"Enhui Liu, Bin Zhang",12/29/2020,2/29/2024,2024
US-11990773-B2,"Location awareness, positioning and/or guidance for wireless charging ",Volvo Car Corporation,Konstantinos Chatziioannou,11/19/2021,5/21/2024,2024
US-2022278492-A1,Crimp machine having terminal pre-check ,TE Connectivity Services Gmbh,"Matthew ORLOWSKI, Peter John Borisuk",3/1/2021,9/1/2022,2022
US-2023144505-A1,Imaging device ,"Semiconductor Energy Laboratory Co., Ltd.","Yusuke Negoro, Seiichi Yoneda, Hiroki Inoue, Shunsuke Sato, Shunpei Yamazaki",2/14/2020,5/11/2023,2023
US-2023170697-A1,Techniques for predictive control of energy use in a structure ,"Elexity, Inc.","John Powers, Ari HALBERSTADT, Layne Clemen, Rodin PORRATA, Keith MOSHER, Cameron BARCLIFT",11/30/2021,6/1/2023,2023
US-2024201275-A1,Systems and Methods for Battery Health Prediction with On-Device Learning ,"Samsung Electronics Company, Ltd.","Zijing Shao, Davinder Pal Singh",12/20/2022,6/20/2024,2024
US-2024056992-A1,Signal forwarding method and communication apparatus ,"Huawei Technologies Co., Ltd.",Fengwei LIU,4/28/2021,2/15/2024,2024
US-2024079616-A1,Systems and methods for hydrogen leak detection ,Cummins Inc.,"Tarkan Yapici, Max Donald Carruthers, Jithin Benjamin, Archit N. Koti, Stephen James Mclaren, Arun Harohalli Chandra Shekar, Mehfoos Lal Yacoob",9/2/2022,3/7/2024,2024
US-2024161126-A1,Methods and apparatus for dlt-enabled digitized tokens for carbon credits ,"Dynamis Energy, Llc","Robert W. Abbott, Kevin W. Malloy, Kevin McNulty",1/20/2022,5/16/2024,2024
US-2024195593-A1,"Methods, Devices and Computer Program Products for Exploiting Predictions for Capacity and Coverage Optimization ",Telefonaktiebolaget Lm Ericsson (Publ),"Luca Lunardi, Pablo Soldati, Vengatanathan KRISHNAMOORTHI, Henrik Rydén, Reem Karaki, Angelo Centonza",4/30/2021,6/13/2024,2024
US-12065132-B2,Methods and systems for inferring unpainted stop lines for autonomous vehicles ,"Argo AI, LLC","Neal Seegmiller, Xi CAI",4/20/2021,8/20/2024,2024
US-11886202-B2,Method and system for switching between local and remote guidance instructions for autonomous vehicles ,"Argo AI, LLC","Shenglong Gao, Ruben Zhao, Marcial Hernandez, Thomas Petroff, Edward Venator",10/22/2021,1/30/2024,2024
US-2022394914-A1,Powertrain system and management ,Agtonomy,"Timothy Bucher, Steven Holmes",6/15/2021,12/15/2022,2022
US-2022340153-A1,Simulated test creation ,Gm Cruise Holdings Llc,"Casey Weaver, Michael Sindelar, Sidhant Gandhi, Di Gao, Shu Xu, Alka Pai",4/22/2021,10/27/2022,2022
US-2021348934-A1,Infrastructure planning tool ,"Toyota Motor Engineering & Manufacturing North America, Inc.",Geoffrey David Gaither,5/11/2020,11/11/2021,2021
US-2023317072-A1,"Method of processing dialogue, user terminal, and dialogue system ","Hyundai Motor Company, Kia Corporation","Jaemin MOON, Minjae PARK, Sungwang Kim",4/1/2022,10/5/2023,2023
US-2023261017-A1,"Imaging device, electronic device, and moving object ","Semiconductor Energy Laboratory Co., Ltd.","Hiroki Inoue, Seiichi Yoneda, Yusuke Negoro, Takayuki Ikeda, Naoto Kusumoto, Kensuke Yoshizumi, Shunpei Yamazaki",7/31/2020,8/17/2023,2023
US-11682057-B1,Management system to facilitate vehicle-to-everything (V2X) negotiation and payment ,"Wells Fargo Bank, N.A.",Rameshchandra Bhaskar Ketharaju,1/5/2021,6/20/2023,2023
US-2023017403-A1,Systems and methods for updating vehicle software ,"Toyota Motor Engineering & Manufacturing North America, Inc.","Vladimeros Vladimerou, Gregg J. Overfield, Drew Cunningham, John-Michael McNew",7/13/2021,1/19/2023,2023
US-2024168905-A1,"Centralized storage device, in-vehicle electronic system including the same, and method of operating the same ","Samsung Electronics Co., Ltd.","Insup KIM, Ganggyu LEE",11/18/2022,5/23/2024,2024
US-11655956-B2,Communication device and method for vehicle ,"Hyundai Mobis Co., Ltd.",Jong Hyun BAEK,10/26/2021,5/23/2023,2023
US-2023219594-A1,System for communicating fleet-specific features of an immediate vehicle to a personal electronic device ,GM Global Technology Operations LLC,"Jacob Alan BOND, Joseph F. Szczerba",1/11/2022,7/13/2023,2023
US-2024109513-A1,Vehicle control method and related apparatus ,"Huawei Technologies Co., Ltd.","Nan Liu, Miao Yang, Mingchao LI",6/16/2021,4/4/2024,2024
US-2023058007-A1,Autonomous vehicle rider drop-off sensory systems and methods ,"Ford Global Technologies, Llc","Nithya Somanath, Bhagyashri Satyabodha Katti, Joseph Wisniewski, Finn Finn Tseng, Aed Dudar",8/20/2021,2/23/2023,2023
US-2022102998-A1,Systems and methods for efficient charging of energy storage systems ,BluWave Inc.,"Yujie Xu, Mostafa FARROKHABADI",9/30/2020,3/31/2022,2022
US-11921639-B2,"Method for caching data, a host device for caching data, and a storage system for caching data ","Samsung Electronics Co., Ltd.","Heng Zhang, Yuanyuan Ye, Huimei Xiong, Yunchang Liang",5/23/2022,3/5/2024,2024
US-11966704-B1,Techniques for verifying a veracity of machine learning outputs ,AMKS Investments I LLC,"Alexander C. Magary, Kareem Serageldin",10/12/2023,4/23/2024,2024
US-2023297908-A1,Centralized skills management via skills inference within context of global skills graph ,"Microsoft Technology Licensing, Llc","Srivathsan JAGADEESAN, Swati Jhawar",3/16/2022,9/21/2023,2023
US-11343405-B1,Methods and systems for adding one or more new images to an input document ,Xerox Corporation,"Abhay Budakoti, Sathyanarayanan Ranganathan",3/10/2021,5/24/2022,2022
US-2022089193-A1,Automated Driving System ,Aptiv Technologies Limited,"Waldemar Dworakowski, Marzena Banach, Rafal Dlugosz",9/18/2020,3/24/2022,2022
US-2021286366-A1,"Movable object control device, movable object control method and storage medium storing program ","Honda Motor Co., Ltd.","Shigeru Inoue, Hideki Matsunaga, Masamitsu Tsuchiya, Kenji Komori, Takahiro KUREHASHI, Hiroki Tanaka",3/10/2020,9/16/2021,2021
US-2024011795-A1,Map Message Sending Method and Apparatus ,"Huawei Technologies Co., Ltd.","Miao Yang, Shuo Liu, Mingchao LI, Yong Wu",3/22/2021,1/11/2024,2024
US-2022001882-A1,"Method and apparatus for driving control, device, medium and system ","Apollo Intelligent Connectivity (Beijing) Technology Co., Ltd.","Zhuhua ZHANG, Hao Zhang",9/21/2020,1/6/2022,2022
US-2021329401-A1,Facilitation of audio for augmented reality ,"At&T Intellectual Property I, L.P.","Brittaney Zellner, Sameena Khan, Ryan Schaub, Barrett Kreiner, Ari Craine, Robert Koch",4/17/2020,10/21/2021,2021
US-11525594-B1,Automated management of electricity consumption ,"Nrg Energy, Inc.","Matthew C. Hinson, Mark D. Parsons, John Goodman, Gary Norris, Luke Martin, David Clausen, Adrian Samaniego",6/17/2021,12/13/2022,2022
US-2023140704-A1,Mobility and zone management in zone-based federated learning ,"Qualcomm Technologies, Inc.","An Chen, Vijaya Datta Mayyuri",11/2/2021,5/4/2023,2023
US-2024370697-A1,Deep learning model for energy forecasting ,Sas Institute Inc.,"Richa Chauhan, Harish YADAV, Hemil Shah, Kanchan Kamat, Arnulfo D. de Castro, Tae yoon Lee",5/3/2023,11/7/2024,2024
US-2024365160-A1,"Communication method, apparatus, and system ","Huawei Technologies Co., Ltd.","Zhe Liu, Chenghui PENG, Jun Wang, Jianjun Wu",1/6/2022,10/31/2024,2024
US-2024232645-A9,Zone gradient diffusion (zgd) for zone-based federated learning ,Qualcomm Incorporated,"Vijaya Datta Mayyuri, An Chen",10/21/2022,7/11/2024,2024
US-2024039938-A1,IOT Blockchain DDOS Detection and Countermeasures ,Telefonaktiebolaget Lm Ericsson (Publ),"Rani Yadav-Ranjan, Arthur R. Brisebois, Serene Banerjee",8/1/2022,2/1/2024,2024
US-2024356815-A1,Machine Learning (ML) Model Retraining in 5G Core Network ,Telefonaktiebolaget Lm Ericsson (Publ),"Miguel Angel Monjas Llorente, Miguel Angel Garcia Martin, Piotr KESSLER",10/8/2021,10/24/2024,2024
US-2024248783-A1,Root cause analysis via causality-aware machine learning ,Telefonaktiebolaget Lm Ericsson (Publ),"Péter Kersch, Zsófia KALLUS, Domokos Kelen, Peter Vaderna, Tamas Borsos",1/25/2023,7/25/2024,2024
US-2024357380-A1,Managing decentralized autoencoder for detection or prediction of a minority class from an imbalanced dataset ,Telefonaktiebolaget Lm Ericsson (Publ),"Konstantinos Vandikas, Selim Ickin, Wenfeng Hu, Erik SANDERS, Paluk GOYAL",8/31/2021,10/24/2024,2024
US-2025007791-A1,Machine Learning (ML) Model Management in 5G Core Network ,Telefonaktiebolaget Lm Ericsson (Publ),"Miguel Angel Monjas Llorente, Stephen Terrill, Miguel Angel Garcia Martin",12/3/2021,1/2/2025,2025
US-2022391091-A1,Management of Namespace Block Boundary Alignment in Non-Volatile Memory Devices ,"Micron Technology, Inc.",Alex Frolikov,6/4/2021,12/8/2022,2022
US-2024242252-A1,"System, method, and computer program for rating based charging ",Rakuten Symphony Singapore Pte. Ltd.,Mayur KACHHADIYA,9/22/2022,7/18/2024,2024
US-12041366-B2,Imaging device and electronic device ,"Semiconductor Energy Laboratory Co., Ltd.","Takeya HIROSE, Seiichi Yoneda, Hiroki Inoue, Takayuki Ikeda, Shunpei Yamazaki",3/27/2020,7/16/2024,2024
US-2022005179-A1,"Method and apparatus for detecting a status of a lens, electronic device and medium ","Beijing Baidu Netcom Science Technology Co., Ltd.",Lihua Xu,3/16/2021,1/6/2022,2022
US-2024322674-A1,Power control method and device for controlling harmonic component magnitude ,"Samsung Electronics Co., Ltd.","Hyomin AHN, Youngjae PARK, Junghyun Lee, Taeho Lee, Jehyung CHO",12/3/2021,9/26/2024,2024
US-2024253819-A1,Mastless aerial lighting system ,STL Innovation LLC,"John K. Mathew, Benny Joseph",1/31/2023,8/1/2024,2024
US-2022319592-A1,Spike current suppression in a memory array ,"Micron Technology, Inc.","Sundaravadivel Rajarajan, Srivatsan Venkatesan, Iniyan Soundappa Elango, Robert Douglas Cassel",4/5/2021,10/6/2022,2022
US-2023069190-A1,Access Line Having a Resistive Layer for Memory Cell Access ,"Micron Technology, Inc.","Sateesh Talasila, Chandrasekhar MANDALAPU, Robert Douglas Cassel, Sundaravadivel Rajarajan, Iniyan Soundappa Elango, Srivatsan Venkatesan",8/27/2021,3/2/2023,2023
US-2021242108-A1,Technologies for liquid cooling systems ,Intel Corporation,"Ralph W. Jensen, Michael Thomas Crocker, Wesley B. Morgan",3/26/2021,8/5/2021,2021
US-2023152984-A1,Storage devices configured to obtain data of external devices for debugging ,"Samsung Electronics Co., Ltd.","Dongouk MOON, Hyunjoon Yoo",11/12/2021,5/18/2023,2023
US-2022198771-A1,"Discovery, Management And Processing Of Virtual Real Estate Content ",Google Llc,"Yan Mayster, Bruce Bahnsen, Zhiyuan Weng",8/10/2020,6/23/2022,2022
US-2023222067-A1,Apparatus and method for cache-coherence ,"Samsung Electronics Co., Ltd.",Soo-Young Ji,1/7/2022,7/13/2023,2023
US-2024326837-A1,Vehicle sensory feedback management ,Ari B. Teman,Ari B. Teman,3/13/2023,10/3/2024,2024
US-2024140240-A1,Messaging for targeted battery unit degredation ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2024211964-A1,Modeling driver style to lower a carbon footprint ,"Toyota Connected North America, Inc.","Olarinre Salako, Varun Prasad, Daniel Ellis Holman, Farzam Ghanbarnezhad, Danny P. Bargas, Rohit Mishra, Jennifer C. Lerman",12/21/2022,6/27/2024,2024
US-2024424942-A1,Aggregated energy management system - vehicle ,Volvo Car Corporation,"Sriram Venkatakrishnan, Linus von Sydow, Arsam Golriz, Daniel Elfstrand",6/22/2023,12/26/2024,2024
US-2024233455-A1,"Vehicle Data Managing Server, Platform Managing Server and Service Server, and Service Providing System Associated with Autonomous Driving Platform ","Lg Energy Solution, Ltd.","Jin Woo Lee, Dong Myung Kim, Hyuk Sung Chung",1/10/2023,7/11/2024,2024
US-2025034912-A1,Door lock for cyclist protection ,Volvo Car Corporation,Sven Heyrman,7/28/2023,1/30/2025,2025
US-12112591-B2,AI-based noise generation diagnosis apparatus and method of PE components for electric vehicle ,"Hyundai Motor Company, Kia Corporation","Dong-Chul Lee, In-Soo Jung",2/11/2022,10/8/2024,2024
US-2024140264-A1,Automated vehicle battery health optimization ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Roland Persson Signell",10/28/2022,5/2/2024,2024
US-2024332967-A1,Artificial Intelligence-Based Management of Energy Storage Units ,Torus Inc.,"Nathan Walkingshaw, David Duane Rackham, Dalya Adams, Jackson Bennett",3/29/2023,10/3/2024,2024
US-12222714-B2,Robotic process automation system trained to undertake actions with a vehicle based on user interactions with a user interface of the vehicle ,"Strong Force Tp Portfolio 2022, Llc",Charles Howard Cella,,2/11/2025,2025
US-2023334393-A1,Method and system for managing and sourcing materials and services for electrication projects ,"Michael J. Seifert, Rodney J. Seifert, Jeffrey A. Seifert","Michael J. Seifert, Rodney J. Seifert, Jeffrey A. Seifert",10/14/2020,10/19/2023,2023
US-2023294539-A1,Electromagnetic power receiving device for wireless electric vehicle charging ,Ev Charging Solutions Llc,"Luis M. Ortiz, Kermit D. Lopez",1/6/2022,9/21/2023,2023
US-2024204823-A1,Methods and systems for operating an electric vehicle ,Accelerated Systems Inc.,"Peter MANKOWSKI, Willem Jager, Andrei Buin, Lucas Coelho, Daniel HAILU, Muhammad IKHLAS",5/4/2021,6/20/2024,2024
US-2024428280-A1,Aggregated energy management system - infrastructure ,Volvo Car Corporation,"Sriram Venkatakrishnan, Daniel Elfstrand, Arsam Golriz, Linus von Sydow",6/22/2023,12/26/2024,2024
US-2024075810-A1,Apparatus for distributing power of an electric vehicle and a method thereof ,"Hyundai Motor Company, Kia Corporation","Dong Hoon WON, Hyung Seuk Ohn, Dong Hoon Jeong, Won Seok JEON, Ki Sang Kim, Byeong Wook Jeon, Jung Hwan BANG, Hee Yeon Nah",9/7/2022,3/7/2024,2024
US-2024140245-A1,Vehicle to vehicle messaging for vehicle to vehicle charging ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2024140211-A1,Vehicle to vehicle charging ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2024140218-A1,Moving vehicle to vehicle charging ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2024140217-A1,Vehicle to vehicle charging based on state of health of battery system ,Volvo Car Corporation,"Andreas Martin Viktor Ropel, Ben Peter Lloyd, Matthias Yannick Philippe Le Saux, Konstantinos Chatziioannou, Klas Persson Signell",10/28/2022,5/2/2024,2024
US-2023211683-A1,Inductive charging of electric vehicles from a service vehicle ,Ev Charging Solutions Llc,"Luis M. Ortiz, Kermit D. Lopez",1/6/2022,7/6/2023,2023
US-11451669-B1,Method and system for providing access to a node of a shared resource ,The Toronto-Dominion Bank,"Miguel Navarro, Levi Sutter, Joseph S. SANSOTTA, Mohamed Abbas, Lina Nancy SICILIANO, Joseppina STANKIEWICZ, Catherine HALLORAN, Robert SETLIGHT, Matthew J. MAIETTA",2/26/2021,9/20/2022,2022
US-2024239231-A1,System for a demand-sensitive networked fleet of mobile power dispensing stations ,Power Hero Corp.,Esmond Goei,1/17/2023,7/18/2024,2024
US-2024332984-A1,Systems and methods for distributing power between vehicle chargers and hashed data conversion ,Kennedy Mining LLC,"Mikal E. Kissick, Michael M. Aitken, Reed Mitchell Morrison",3/30/2023,10/3/2024,2024
